Name,Pick,Team,Class,School,POS,HT (ft),WT (lb),Arm Length (in),Hand Size (in),40 (s),10-yd (s),Shuttle (s),3Cone (s),Bench (reps),Vert (in),Broad Jump (ft),rSPARQ,pSPARQ,rSPARQ z-score,pSPARQ z-score
Douglass Almendares,,,2014,Florida A&M,OC,6.2,303,0,0,5.59,1.86,5.32,8.27,22,27.5,7.92,68.6,74,-1.4,-0.7
Deven Drane,,,2014,Cincinnati,CB,5.8,179,31.63,9.75,4.57,1.63,4.17,6.93,13,33.5,9.92,102.7,102.2,-0.5,-0.7
Alden Darby,,,2014,Arizona State,DS,5.83,194,30.75,8.75,4.65,1.69,4.32,6.97,16,34.5,10.08,102.7,101.1,-0.7,-0.7
Isaiah Battle,,,2014,Texas State,WR,5.77,198,0,0,4.53,1.54,4.47,7.1,16,37,9.3,106.1,99,-0.2,-0.7
Justin Coleman,,,2014,Iowa State,WR,5.87,188,0,0,4.67,1.64,4.21,7.09,14,35,9.8,103.2,99,-0.4,-0.7
D.J. Tialavea,,,2014,Utah State,TE,6.29,267,33.63,9.25,4.95,1.76,4.62,7.46,22,32.5,9.08,99.2,93.6,-0.4,-0.7
Dion Bailey,,,2014,USC,DS,5.98,201,32,9.5,4.66,1.64,4.15,6.97,14,33.5,9.5,106.5,101,-0.4,-0.7
J.C. Copeland,,,2014,LSU,FB,5.93,271,32,10,4.9,1.69,4.58,7.68,23,28.5,9.25,98.7,91.7,-0.7,-0.7
Brandon Heath,,,2014,Delaware,OC,6.33,306,0,0,5.48,1.88,5.11,8.07,20,25,8.25,69.8,73.8,-1.3,-0.7
Erik Thompson,,,2014,Grand Valley State,DS,5.85,182,0,0,4.5,1.57,4.36,7.1,16,35,9.67,104.6,100.9,-0.5,-0.7
Greg Franklin,,,2014,UAB,DS,5.79,215,0,0,4.55,1.56,4.5,7.35,15,35,9.58,103.8,100.9,-0.6,-0.7
Jaycob Shoemaker,,,2014,Portland State,OB,5.87,233,0,0,4.87,1.71,4.37,7.23,22,32.5,9.42,103.6,100.1,-0.4,-0.7
Ricky Heimuli,,,2014,Oregon,DT,6.3,329,32.75,9.88,5.31,1.91,4.81,7.71,26,25,7.83,88.9,78.8,-0.3,-0.7
Joe Williams,,,2014,Baylor,CB,5.72,199,31,9.75,4.7,1.63,4.51,7.38,10,39.5,10.33,95.6,102,-1.1,-0.7
Darnell Harding,,,2014,California (PA),OB,6.12,254,0,0,4.89,1.7,4.68,7.38,23,31,9.75,94.4,98,-0.9,-0.7
Jeremiah Taylor,,,2014,Marshall,DE,6.29,253,32.25,10.25,4.86,1.66,4.3,7.47,24,30.5,8.83,110.1,98,0,-0.7
Ryan McGrath,,,2014,Ohio,OT,6.5,305,32.75,10.13,5.37,1.91,4.79,8.11,23,30,8.5,87,80.8,-0.2,-0.7
Ernst Brun Jr.,,,2014,Iowa State,TE,6.19,253,0,0,4.77,1.68,4.79,7.5,19,29.5,9.25,91.3,93.4,-0.9,-0.7
Roy Finch,,,2014,Oklahoma,RB,5.53,177,27.88,8.25,4.5,1.65,4.25,7.07,22,33.5,9.5,111.5,102.5,-0.1,-0.7
Kendrick James,,,2014,Louisiana Tech,DE,6.04,272,0,0,4.92,1.71,4.59,7.45,31,29.5,8.33,107,97.8,-0.2,-0.7
Pete White,,,2014,Temple,OG,6.31,357,0,0,5.66,1.87,5.03,8.18,24,22,7.83,72.3,79.6,-1.3,-0.7
Dallas Hendrikson,,,2014,Rutgers,OC,6.03,292,30.5,9.5,5.58,1.87,4.89,7.9,24,26,8,69.9,73.5,-1.3,-0.7
Peter Smith,,,2014,Midwestern State,RB,5.42,178,0,0,4.6,1.59,4.33,6.91,9,36,9.58,95.3,102.4,-1.2,-0.7
Bo Schuetzle,,,2014,Eastern Washington,CB,5.83,208,0,0,4.55,1.6,4.4,6.99,20,34,9.42,110,101.8,0.1,-0.7
Gary Fortune,,,2014,Emporia State,CB,6,174,0,0,4.62,1.54,4.39,7.11,13,35.5,10.25,94.8,101.8,-1.2,-0.7
Jack Mewhort,59,IND,2014,Ohio State,OT,6.5,309,34,9.75,5.37,1.9,4.64,7.79,28,26,8.42,87.6,80.6,-0.1,-0.7
Jack Tyler,,,2014,Virginia Tech,IB,6,231,29.13,8.63,4.81,1.68,4.23,7.33,26,28.5,9.25,108.1,99.3,-0.2,-0.7
Luther Ware,,,2014,Grand Valley State,OB,5.83,226,0,0,4.86,1.69,4.54,7.25,18,35,9.67,95.7,99.8,-0.9,-0.7
Tyrel Wilson,,,2014,Virginia Tech,OB,6.1,228,0,0,4.78,1.65,4.33,6.93,19,30.5,9.08,101.5,99.8,-0.6,-0.7
Chris Putton,,,2014,Arizona,OG,6.3,250,0,0,5.19,1.79,4.64,7.4,19,27.5,8.67,72.6,79.5,-1.3,-0.7
Ryan Corbin,,,2014,SW Oklahoma State,TE,6.24,232,32,9.25,4.92,1.71,4.59,7.5,16,33,9.75,87.5,93.1,-1.1,-0.7
Daryle Hawkins,,,2014,Oregon,WR,6.23,199,31.75,9.13,4.68,1.61,4.42,6.97,17,31,10.3,94.4,98.6,-1.1,-0.7
Dexter Linton,,,2014,Kansas,DS,5.85,193,30.38,9,4.6,1.62,4.2,7.2,7,33,9.92,96.6,100.5,-1.1,-0.7
Montavious Williams,,,2014,South Alabama,DT,6.05,273,0,0,5.21,1.88,4.74,7.38,18,32,8.83,82.9,85,-1,-0.7
Charlie Moore,,,2014,Oklahoma State,WR,6.19,205,30.38,9.38,4.65,1.67,4.4,7.09,12,33.5,10.2,96.5,98.5,-0.9,-0.7
Michael Phillip,,,2014,Oregon State,OT,6.3,316,31.88,9.88,5.34,1.84,4.71,7.75,19,26,7.83,81.4,80.4,-0.6,-0.7
Chad Young,,,2014,San Diego State,FB,5.78,238,29.5,8.88,4.88,1.66,4.48,7.61,34,34,8.67,113.5,91.1,0.4,-0.7
Craig Watts,,,2014,West Texas A&M,OG,6.29,331,0,0,5.5,1.89,4.93,7.97,25,25,8.08,80.2,79.3,-0.7,-0.8
Mike Davis,,,2014,Texas,WR,6,197,32.75,10,4.5,1.57,4.39,7.11,10,32.5,9.8,96.7,98.4,-0.9,-0.8
Pierre Warren,,,2015,Jacksonville State,DS,6.02,194,33.25,9.75,4.59,1.59,4.51,7.38,8,35,10.42,90,100.3,-1.6,-0.8
Viliami Moala,,,2015,California,DT,6.11,336,32.25,10.88,5.5,1.88,4.76,7.9,25,25.5,8,83.8,78.4,-0.8,-0.8
Derrick Strozier,,,2014,Tulane,CB,5.53,180,0,0,4.53,1.57,4.33,6.99,19,34.5,9.67,106.6,101.5,-0.2,-0.8
Jordan Harris,,,2014,Bryant,WR,6.01,212,31,9.5,4.65,1.62,4.39,7.29,7,34.5,9.9,94.4,98.3,-1.1,-0.8
Ty Holmes,,,2014,East Carolina,IB,5.98,236,0,0,4.74,1.59,4.8,7.36,16,30.5,9.75,87.3,98.9,-1.9,-0.8
Demetruce McNeal,,,2014,West Alabama,DS,6.05,190,0,0,4.56,1.64,4.33,7.02,7,32.5,10.17,91.9,100.2,-1.5,-0.8
Brent McClendon,,,2014,Georgia State,CB,5.67,179,0,0,4.53,1.52,4.21,6.84,14,34.5,9.25,105.5,101.4,-0.3,-0.8
Charles Sawyer,,,2014,Ole Miss,CB,5.86,183,30.75,9.13,4.53,1.6,4.2,6.9,13,37,9.17,109.7,101.4,0.1,-0.8
Ja'Ron Gillespie,,,2014,Eastern Michigan,CB,5.93,180,0,0,4.53,1.59,4.48,7.09,18,38.5,9.75,105.7,101.4,-0.3,-0.8
Sterling Carter,,,2014,Purdue,TE,6.29,247,0,0,4.9,1.73,4.69,7.33,17,30.5,9.5,85.4,92.6,-1.3,-0.8
Brendon Cunningham,,,2014,Wittenburg,HB,6.09,247,0,0,4.79,1.65,4.41,7.52,21,28,9,99.5,90.8,-0.6,-0.8
Deon Miller,,,2014,Temple,WR,6.38,216,34.38,8.25,4.71,1.59,4.55,7.08,15,31.5,10.3,90.7,98.2,-1.4,-0.8
Jerry Mitchell,,,2014,Arkansas,DS,6.01,212,0,0,4.65,1.7,4.43,7.07,14,33,10.17,98.1,100.1,-1,-0.8
Matt White,,,2014,Missouri,DS,5.94,195,0,0,4.66,1.66,4.46,7.09,16,35,10.25,97.9,100.1,-1,-0.8
Travis Evans,,,2014,Georgia State,RB,5.8,178,0,0,4.53,1.56,4.54,7.26,15,37,9.83,97.3,101.8,-1.1,-0.8
Monte Gaddis,,,2014,Towson,OB,5.85,229,0,0,4.81,1.62,4.46,7.3,26,32,9.17,104.8,99.1,-0.3,-0.8
Jairus Williams,,,2014,Florida International,WR,6.37,207,0,0,4.58,1.64,4.51,7.15,14,33.5,10.1,97.2,98.1,-0.9,-0.8
Bryson James,,,2014,South Alabama,IB,6.07,229,0,0,4.79,1.8,4.33,7.35,17,33.5,9.5,104.1,98.7,-0.5,-0.8
Kenneth Carter,,,2014,Auburn,DE,6.31,281,0,0,5.06,1.84,4.61,7.37,22,32.5,9,97.6,96.9,-0.7,-0.8
Andrew Rodriguez,,,2014,Nebraska,OG,6.43,336,32.5,10.63,5.56,1.89,5.01,8.68,25,26,8,79.8,78.9,-0.8,-0.8
Antoine Lewis,,,2014,Villanova,DT,6.12,296,0,0,5.5,1.7,4.74,7.94,28,27,8.67,79.8,84.5,-1.2,-0.8
Jairus Campbell,,,2014,Bowling Green,DT,6.36,317,0,0,5.4,1.96,4.66,7.84,36,28.5,8.5,98.6,84.5,0,-0.8
Courtney Bridget Jr.,,,2014,Hampton,CB,6.21,188,30.88,9.63,4.58,1.61,4.46,6.95,6,31,10.75,83,101.2,-2.1,-0.8
Javaughn Tabbs,,,2014,Lindenwood (IL),CB,5.81,190,0,0,4.49,1.64,4.29,7.18,15,34,9.75,107,101.2,-0.1,-0.8
Sean Evans,,,2014,Northern Illinois,CB,5.88,182,0,0,4.52,1.55,4.59,6.86,9,35,10.25,87.6,101.2,-1.7,-0.8
Tyron Harris,,,2014,Temple,WR,6.17,198,0,0,4.68,1.58,4.44,7.32,13,32,10.5,90.9,98,-1.4,-0.8
Tyshon Goode,,,2014,Kent State,WR,5.97,196,29.63,8.5,4.6,1.57,4.37,6.89,17,32.5,9.6,101,98,-0.6,-0.8
Kevin Young,,,2014,Kansas,DT,6.24,282,0,0,5.15,1.84,4.75,7.98,14,31,8.75,82.1,84.4,-1,-0.8
Rickey Simpson,,,2014,Illinois State,OB,6.09,239,0,0,4.87,1.65,4.59,7.51,24,33,9.42,98.7,96.7,-0.7,-0.8
Fatu Moala,,,2014,Southern Utah,WR,6.05,195,0,0,4.62,1.65,4.35,6.9,20,32.5,9.8,103.8,97.9,-0.3,-0.8
Keith Charles,,,2014,Saint Anselm,RB,5.84,203,0,0,4.66,1.66,4.25,7.28,17,33.5,9.5,106.5,101.5,-0.5,-0.8
Yawin Smallwood,,,2014,Connecticut,OB,6.19,246,31.75,9.5,5.01,1.67,4.36,7.18,18,36.5,9,100.5,98.8,-0.6,-0.8
Deion Belue,,,2014,Alabama,CB,5.88,176,31.5,9.13,4.52,1.56,4.38,7,11,36.5,9.75,98.7,101,-0.8,-0.8
Lawrence Barnett,,,2014,Indiana,CB,5.8,187,29,8.5,4.63,1.57,4.35,6.91,21,33.5,9.75,104.2,101,-0.4,-0.8
Fabian Truss,,,2014,Samford,RB,5.7,187,31.25,8.13,4.49,1.54,4.4,6.96,16,31,9.5,98.2,101.4,-1,-0.8
Alan Hurns,,,2014,Miami (FL),WR,6.1,198,32,9.25,4.54,1.58,4.39,7.23,14,31,10,97.3,97.8,-0.9,-0.8
Kevin Cummings,,,2014,Oregon State,WR,6.08,184,30.63,8.75,4.48,1.58,4.24,6.98,13,34.5,9.2,106.3,97.8,-0.1,-0.8
Stephen Roberts,,,2014,Middle Tennesee,OB,6.2,216,0,0,4.69,1.71,4.71,7.27,17,33.5,9.92,91.7,98.6,-1.2,-0.8
Tyriq Kershaw,,,2014,Shippensburg,DS,5.88,192,31.25,9.5,4.63,1.61,4.4,6.94,16,35,9.75,100.7,99.6,-0.8,-0.8
Marlon Pollard,,,2014,Arizona State,CB,6.02,168,0,0,4.69,1.62,4.47,6.93,13,36.5,10.75,89.3,100.9,-1.6,-0.8
Tevin Hood,,,2014,Arizona,DT,5.88,314,0,0,5.28,1.81,4.9,8.01,32,25,7.58,90.6,77.9,-0.2,-0.8
Jamill Smith,,,2014,Ball State,WR,5.52,152,0,0,4.51,1.49,4.36,7.17,18,37.5,9.8,102.4,97.7,-0.5,-0.8
John Darr,,,2014,Old Dominion,OB,5.95,225,0,0,4.91,1.66,4.32,7.2,17,31,9.5,94.6,98.5,-1,-0.8
Ahmad Dixon,,,2014,Baylor,DS,6,212,32.25,9.88,4.48,1.59,4.39,7.28,14,34,9.25,107.5,99.5,-0.3,-0.8
Andrew Mahan,,,2014,Faulkner College,DS,6.09,212,0,0,4.69,1.67,4.53,7.28,19,34.5,10.25,100.1,99.5,-0.9,-0.8
Lee Kurfis,,,2014,Lehigh,WR,6.17,200,29.88,9.38,4.55,1.62,4.4,7.43,10,32,10.3,94.5,97.6,-1.1,-0.8
Jeremy Boone,,,2014,Portland State,DE,6.21,266,0,0,4.87,1.7,4.74,7.49,14,28,9.25,84.8,96.2,-1.5,-0.8
Malcolm Jones,,,2014,UCLA,RB,5.98,219,0,0,4.67,1.62,4.37,7.09,14,30.5,9.58,97.1,101.1,-1.1,-0.8
Matt Goldsmith,,,2014,Illinois State,DS,5.96,201,0,0,4.69,1.58,4.3,7.15,17,33,9.67,102.2,99.4,-0.7,-0.8
Elijah Lee,,,2014,Charleston Southern,CB,5.83,188,30.63,8.63,4.59,1.63,4.39,7,10,35,10.08,95.4,100.7,-1.1,-0.8
Quandon Christian,,,2014,Clemson,OB,6.2,232,31.25,8.63,4.68,1.7,4.58,7.46,16,34,9.42,98.8,98.3,-0.7,-0.8
Cameron Whigham,,,2014,Ole Miss,DE,6.18,258,31.75,9.63,4.94,1.73,4.72,7.26,20,33,9.5,93.3,96.1,-1,-0.8
Shontrelle Johnson,,,2014,Iowa State,RB,5.77,195,0,0,4.57,1.61,4.43,7.01,21,32.5,9.5,103.6,101,-0.7,-0.8
David Carter,,,2014,Eastern Kentucky,DT,6.13,312,0,0,5.45,1.92,5.2,8.58,25,30,8.5,83.1,77.7,-0.9,-0.8
Brian Dixon,,,2014,NW Missouri State,CB,5.97,196,32.63,8.75,4.41,1.59,4.59,7.07,14,30.5,10.33,92.5,100.6,-1.3,-0.8
Al-Terek McBurse,,,2014,Florida A&M,RB,5.88,194,0,0,4.74,1.6,4.3,7.18,14,33,9.83,95.5,100.9,-1.2,-0.8
Dominic Flewellyn,,,2014,Bowling Green,OG,6.13,293,0,0,5.36,1.82,4.73,7.79,29,25,7.83,81.8,78.1,-0.6,-0.8
Tristen Bellamy,,,2014,South Carolina State,OG,6.24,298,0,0,5.16,1.81,4.89,8.17,23,23.5,8.17,80.8,78.1,-0.7,-0.8
L'Damian Washington,,,2014,Missouri,WR,6.31,195,33.38,9,4.43,1.59,4.35,7.09,8,32,9.6,97.1,97.3,-0.9,-0.8
Louis Hollier Jr.,,,2014,Northwestern State (LA),WR,6.07,205,0,0,4.72,1.64,4.47,7.38,13,36,10.3,95.9,97.3,-1,-0.8
Osagie Odiase,,,2014,Sacramento State,CB,5.85,187,0,0,4.63,1.59,4.28,6.85,11,32,10,94.2,100.5,-1.2,-0.8
Ryan Thompson,,,2014,Indiana,DS,5.88,193,0,0,4.58,1.63,4.42,7.21,14,30,10.5,92,99.1,-1.5,-0.8
Will Ferrell,,,2014,Hampden-Sydney,OG,6.25,313,0,0,5.27,1.86,4.95,7.89,30,23.5,8.08,85.8,78,-0.3,-0.8
Terrance Lewis,,,2013,Alcorn State,WR,5.68,162,0,0,4.34,1.56,4.37,7.52,12,34.5,10.1,99.7,97.2,-0.7,-0.8
Sean Martin,,,2014,Oregon State,CB,5.95,187,30.75,9.25,4.66,1.64,4.19,6.85,13,34.5,9.67,102.2,100.4,-0.5,-0.8
Andre McDonald,,,2014,Kansas State,TE,6.58,261,0,0,4.87,1.75,4.82,7.41,16,32.5,8.92,91.5,91.2,-0.9,-0.9
Tracy Moore,,,2014,Oklahoma State,WR,6.1,204,31.63,10,4.56,1.63,4.51,7.4,16,37,9.7,104.7,97.1,-0.3,-0.9
Jon Bryant,,,2014,Saginaw Valley State,DS,5.67,197,0,0,4.67,1.65,4.31,7.1,24,33.5,9.67,109.8,98.9,-0.1,-0.9
Justin Blake,,,2014,Hampton,DS,5.77,189,0,0,4.5,1.59,4.4,6.92,12,33,9.67,97.5,98.9,-1.1,-0.9
Loucheiz Purifoy,,,2014,Florida,CB,5.96,190,32.75,8.5,4.61,1.61,4.32,7.28,8,35.5,10,96.2,100.3,-1,-0.9
Giovanni Sani,,,2014,Cal Poly,OT,6.36,294,0,0,5.4,1.9,4.97,7.69,18,27.5,9,73.2,78.8,-1.1,-0.9
Chaquil Reed,,,2014,Kansas State,DT,6.18,302,0,0,5.09,1.81,5.08,7.87,19,26,8.5,82.8,83.4,-1,-0.9
Jalen Saunders,,,2014,Oklahoma,WR,5.73,165,30,8.88,4.44,1.55,4.42,7.29,13,34,10.2,95.4,97,-1,-0.9
Shaun Joplin,,,2014,Bowling Green,WR,6.09,207,0,0,4.66,1.66,4.2,7.08,7,32,9.8,95.9,97,-1,-0.9
DeWitt Jennings,,,2014,Tulsa,DS,5.84,215,0,0,4.72,1.63,4.3,7.07,22,30.5,9.67,105.2,98.8,-0.5,-0.9
Jake Metz,,,2014,Shippensburg,DE,6.45,263,34.75,9.75,4.99,1.7,4.91,7.31,22,28,9.42,84.9,95.4,-1.5,-0.9
Tyler Hoover,,,2014,Michigan State,DE,6.55,286,32.5,9.88,5.15,1.81,4.67,7.38,27,29,9.33,93,95.4,-1,-0.9
Darrius Morrow,,,2014,South Alabama,CB,5.76,174,0,0,4.55,1.64,4.23,6.7,15,35,9.58,104.6,100.2,-0.3,-0.9
Markus Smith,,,2014,Nevada,CB,6.07,196,31.5,9.13,4.55,1.67,4.36,7.02,13,33,10,99.8,100.2,-0.7,-0.9
Tana Patrick,,,2014,Alabama,IB,6.19,243,32.13,8.75,4.67,1.73,4.56,7.72,17,32.5,9.5,100.9,97.5,-0.8,-0.9
Randall Joyner,,,2014,SMU,OB,5.75,231,30.38,8.5,4.88,1.72,4.38,7,23,31.5,9.25,101.8,97.6,-0.5,-0.9
Prince Kent,,,2014,Baylor,DS,6.12,217,0,0,4.71,1.7,4.44,7.28,13,35.5,10,99.3,98.7,-0.9,-0.9
Ethan Hemer,,,2014,Wisconsin,DE,6.43,291,30.75,10,5.11,1.84,4.67,7.5,32,29.5,9,101.1,95.2,-0.5,-0.9
Nexon Dorvilus,,,2014,Florida Atlantic,TE,6.29,230,36,10.75,4.98,1.68,4.5,7.39,14,31,9.58,83.2,90.8,-1.4,-0.9
Emmanuel Jefferies,,,2014,Louisiana Monroe,DE,6.31,279,0,0,4.93,1.73,4.81,7.57,23,28,8.83,94.3,95.1,-0.9,-0.9
Joey Dienye,,,2014,Bethel,DE,6.21,260,33.13,9.63,4.98,1.78,4.38,7.51,22,28,9,97.7,95.1,-0.7,-0.9
Bryan Shepherd,,,2014,North Dakota State,CB,5.79,180,0,0,4.48,1.58,4.35,6.9,13,34.5,9.58,101.2,100,-0.6,-0.9
Kass Everett,,,2014,Oklahoma,CB,5.75,188,28.88,8.75,4.7,1.63,4.44,7.03,18,36.5,10.08,99.9,100,-0.7,-0.9
Khalil Wilkes,,,2014,Stanford,OC,6.13,294,32.5,9.38,5.4,1.92,4.98,8.08,16,28,8.33,72.2,71.2,-1.1,-0.9
Dominick Pierre,,,2014,Dartmouth,RB,5.86,215,0,0,4.66,1.63,4.49,7.26,18,30.5,9.92,96.1,100.1,-1.2,-0.9
Joe Mitchell,,,2014,Oklahoma State,OB,6.21,220,0,0,4.72,1.7,4.46,7.51,16,33,9.5,98.1,97.2,-0.8,-0.9
Avery Patterson,,,2014,Oregon,DS,5.68,191,29.25,8.25,4.54,1.57,4.32,6.9,10,32.5,9.5,96.6,98.4,-1.1,-0.9
Chris Coffey,,,2014,North Alabama,RB,5.58,203,0,0,4.65,1.63,4.4,6.97,26,34,9.08,111.2,100,-0.1,-0.9
Brandon Braxton,,,2014,Duke,WR,6.04,196,0,0,4.66,1.56,4.39,6.93,13,33,9.7,94.7,96.6,-1.1,-0.9
Daniel McKinney,,,2014,Florida Atlantic,WR,5.96,218,31.63,9.75,4.71,1.6,4.48,7.18,16,33.5,9.8,98,96.6,-0.8,-0.9
Donovan Bonner,,,2014,Missouri,OB,6.04,247,0,0,4.78,1.76,4.59,7.38,20,29,9.75,93.4,94.8,-1,-0.9
A.J. Highsmith,,,2014,Miami (FL),DS,5.88,198,31,8.75,4.64,1.68,4.22,7.03,21,31.5,9.67,108.1,98.3,-0.3,-0.9
Maurice Couch,,,2014,Tennessee,DT,6.09,325,31.38,9.88,5.32,1.89,4.95,8.33,31,24.5,7.83,89.5,77,-0.3,-0.9
Alonzo Agwuenu,,,2014,Arizona State,WR,6.2,215,0,0,4.6,1.64,4.45,7.01,10,31.5,9.8,93.3,96.5,-1.2,-0.9
Joe Price,,,2014,Villanova,WR,6.21,202,0,0,4.57,1.62,4.48,7.3,9,33.5,10.1,92.4,96.5,-1.3,-0.9
Jimmy Legree,,,2014,South Carolina,CB,5.94,192,31.75,8.63,4.66,1.63,4.37,7.14,12,35.5,10,97.4,99.7,-0.9,-0.9
Nat Harrison,,,2014,Fresno State,OB,6.13,236,0,0,4.94,1.75,4.72,7.52,17,35.5,10,88.8,94.6,-1.3,-0.9
Ben Letcher,,,2014,Fresno State,OB,6.12,235,0,0,4.7,1.73,4.56,7.33,19,29.5,9.67,95.3,96.9,-1,-0.9
Devin Wilson,,,2014,Tennessee State,WR,6.17,195,0,0,4.68,1.67,4.39,7.03,10,33.5,10.3,91.5,96.4,-1.3,-0.9
Rhett McGowan,,,2014,Georgia,WR,5.96,183,0,0,4.66,1.57,4.27,7.38,9,35.5,9.8,95.7,96.3,-1,-0.9
Jack Lowney,,,2014,Old Dominion,OT,6.27,310,0,0,5.16,1.8,4.84,8.05,20,23.5,7.75,81.4,77.9,-0.6,-0.9
Jesse Milleson,,,2014,Memphis,TE,6.24,248,0,0,4.86,1.64,4.44,7.43,19,29,8.75,95.5,90.1,-0.6,-0.9
D.J. Morrell,,,2014,Old Dominion,OG,6.43,325,32.13,10.13,5.4,1.88,4.9,8.2,27,23.5,8,82,76.9,-0.6,-0.9
Anthony Larry,,,2014,Eastern Washington,DE,6.19,251,0,0,4.74,1.79,4.33,7.29,15,32.5,8.67,107.2,94.3,-0.2,-0.9
Kameron Jackson,,,2014,California,CB,5.73,183,29.75,8.5,4.5,1.56,4.28,6.91,13,32.5,9.5,100.7,99.4,-0.7,-0.9
Tani Maka,,,2014,UNLV,IB,6.01,243,0,0,4.81,1.67,4.55,7.24,24,32,9.08,102.1,96.6,-0.7,-0.9
Brandon Murie,,,2014,Buffalo,RB,5.69,184,0,0,4.52,1.56,4.35,7.25,8,32,9.67,91.6,99.3,-1.5,-0.9
Jeremy Smith,,,2014,Oklahoma State,RB,5.82,212,30.25,9.13,4.7,1.68,4.53,7.21,24,35.5,9.5,106.4,99.3,-0.5,-0.9
Jimmy Gordon,,,2014,Buffalo,TE,6.29,255,0,0,5.03,1.75,4.43,7.25,15,28,9.58,83.6,89.8,-1.4,-0.9
Steven Christian,,,2014,Oregon State,DS,6,207,0,0,4.75,1.63,4.36,7.1,16,33,9.83,97.9,97.7,-1,-0.9
Andy Jennings,,,2014,Fresno State,DE,6.1,281,0,0,5.06,1.76,4.64,7.74,22,32,8.83,95.5,94,-0.9,-0.9
John Braun,,,2014,Oregon State,DE,6.43,282,0,0,5,1.74,4.71,7.56,22,27,9,90.5,94,-1.2,-0.9
Antwon Lowery,,,2014,Rutgers,OG,6.28,329,33,8.75,5.56,1.84,4.85,8.08,25,22.5,7.58,74.1,76.6,-1.2,-0.9
Marlon Walls,,,2014,Tennessee,DT,6.13,272,31.38,10,5.08,1.83,5.5,7.38,21,27,9.25,74.2,82.2,-1.5,-0.9
Tyler Patmon,,,2014,Oklahoma State,CB,5.85,179,30.25,9.38,4.52,1.63,4.15,6.8,14,33.5,9.33,106.4,99.2,-0.2,-0.9
Derek Graves,,,2014,South Dakota Mines,WR,5.95,183,28.88,9.63,4.69,1.63,4.21,7.14,14,34.5,9.8,100.5,95.9,-0.6,-0.9
Greg Hardin,,,2014,North Dakota,WR,5.83,171,31.25,8.25,4.44,1.58,4.41,6.82,12,33.5,9.7,95.6,95.9,-1,-0.9
Justin Bernthaler,,,2014,Wyoming,DE,6.04,253,0,0,4.89,1.73,4.63,7.56,26,30.5,9.58,97.2,93.9,-0.8,-0.9
Pat Muldoon,,,2014,Wisconsin,DE,6.26,274,31.38,8.75,5.12,1.77,4.46,7.23,22,26.5,9.08,89.4,93.9,-1.2,-0.9
Demetrius Pettway,,,2014,Western Michigan,DS,5.84,187,0,0,4.72,1.58,4.28,6.85,8,31,10.08,86.2,97.5,-1.9,-1
Ryan Thompson,,,2014,Indiana,CB,5.88,193,31.5,8.63,4.58,1.63,4.42,7.21,14,30,10.5,92,99.1,-1.4,-1
Ronrei Lloyd,,,2014,Central Missouri,WR,6.26,188,0,0,4.65,1.68,4.43,7.19,13,36,10.2,96.2,95.8,-1,-1
Tanner Riley,,,2014,Indiana State,WR,5.79,180,0,0,4.55,1.54,4.29,6.88,19,33,9.2,105,95.8,-0.3,-1
Ismail Brooks,,,2014,Buffalo State,RB,5.93,193,0,0,4.58,1.69,4.55,7.21,17,33,10.17,94.7,99,-1.3,-1
Connor Seeman,,,2014,Akron,OB,6.21,227,0,0,4.94,1.61,4.73,7.73,20,32.5,9.92,85.5,93.7,-1.5,-1
Jake Sinkovec,,,2014,Boston College,HB,6.3,243,0,0,4.88,1.72,4.58,7.28,23,30.5,9.17,94.5,87.9,-1,-1
Karl Butler,,,2014,Vanderbilt,DS,6.01,216,0,0,4.82,1.67,4.51,7.08,21,32,10.33,94.7,97.4,-1.3,-1
Jesse Brantley,,,2014,Northern Arizona,WR,5.97,195,0,0,4.58,1.58,4.47,7.18,13,36,9.5,98.8,95.7,-0.8,-1
Gabe Lynn,,,2014,Oklahoma,DS,6.02,206,30.88,9.13,4.58,1.64,4.33,7.14,15,33,9.42,104.3,97.3,-0.6,-1
Jeremiah Sirles,,,2014,Nebraska,OT,6.54,308,34.5,9,5.37,1.91,4.86,7.63,21,26,8.5,78.8,77.2,-0.7,-1
Michael Ethridge,,,2014,Florida A&M,TE,6.19,248,0,0,4.8,1.68,4.71,7.77,19,32.5,9,94.4,89.3,-0.7,-1
Kadeem Jones,,,2014,Western Kentucky,FB,5.81,266,0,0,4.94,1.78,4.81,7.54,26,32,9.17,99.2,87.7,-0.6,-1
Jordan Arthur,,,2014,Jackson State,OC,6.28,303,0,0,5.52,1.95,5.1,8.19,22,27.5,8.33,73.2,69.8,-1.1,-1
Marcus Wiltz,,,2014,McNeese State,RB,5.68,186,0,0,4.66,1.62,4.31,7.16,23,34.5,9.25,108.1,98.7,-0.3,-1
Marion Grice,,,2014,Arizona State,RB,6,208,32,9.25,4.67,1.65,4.41,7.06,14,32,9.58,95.7,98.7,-1.2,-1
Gyovanni Harvey,,,2014,Arkansas Pine Bluff,CB,5.7,191,0,0,4.54,1.58,4.26,7,16,35.5,9,110,98.8,0.1,-1
Jabari Price,,,2014,North Carolina,CB,5.87,200,31.75,9.13,4.45,1.55,4.3,7.04,16,29.5,9.33,103.9,98.8,-0.4,-1
Tyler Scott,,,2014,Northwestern,DE,6.29,257,32,9.13,4.88,1.78,4.42,7.26,23,28.5,9.17,101.4,93.3,-0.5,-1
