"","year","first_name","last_name","pos","weight","forty_yard","bench_press","vertical_jump","shuttle"
"275",2005,"Jimmy","Verdon","DE",280,5.02,18,29.5,4.53
"277",2005,"DeMarcus","Ware","OLB",251,4.56,27,38.5,4.07
"278",2005,"Jonathan","Welsh","OLB",245,4.61,19,40.5,4.22
"280",2004,"Jared","Allen","DE",265,4.72,13,33,4.34
"281",2004,"Jason","Babin","DE",260,4.62,28,34,4.14
"283",2004,"Brandon","Chillar","OLB",253,4.71,23,33,4.09
"284",2004,"Kevin","Emanuel","DE",251,4.84,21,31,4.49
"286",2004,"Roderick","Green","DE",245,4.7,21,34.5,4.04
"288",2004,"Claude","Harriott","DE",252,4.69,25,30.5,4.25
"290",2004,"Isaac","Hilton","DE",267,4.57,31,36.5,4.48
"291",2004,"Trevor","Johnson","DE",259,4.8,23,35.5,4.08
"292",2004,"Maurice","Jones","OLB",249,4.71,26,35.5,4.21
"293",2004,"Tommy","Kelly","DE",294,4.87,24,25,4.45
"294",2004,"Travis","Laboy","DE",263,4.69,35,35.5,4.07
"295",2004,"Teddy","Lehman","OLB",240,4.55,26,34.5,4.06
"298",2004,"Gabe","Nyenhuis","DE",269,4.74,25,39,4.03
"299",2004,"Antwan","Odom","DE",274,4.71,21,37,4.44
"302",2004,"Constantin","Ritzmann","DE",259,4.97,24,29,4.48
"303",2004,"Bo","Schobel","DE",271,4.8,25,32.5,4.38
"305",2004,"Andrew","Shull","DE",265,4.9,16,30.5,4.28
"306",2004,"Antonio","Smith","DE",274,5.03,24,33,4.75
"309",2004,"Dontarrious","Thomas","OLB",241,4.57,26,38.5,4.03
"310",2004,"Reggie","Torbor","DE",254,4.65,16,34,4.46
"311",2004,"Sean","Tufts","OLB",242,4.61,21,34.5,3.95
"312",2004,"Khaleed","Vaughn","DE",281,5,14,31.5,4.35
"314",2003,"Tyler","Brayton","DE",277,4.73,25,34,4.31
"315",2003,"Nick","Burley","DE",243,4.83,26,32,4.57
"316",2003,"Brandon","Green","DE",267,4.78,19,32,4.32
"320",2003,"Raymond","House","DE",277,5.08,20,32,4.36
"321",2003,"Aaron","Hunt","DE",262,4.86,24,30,4.52
"322",2003,"Alonzo","Jackson","DE",266,4.86,14,37,4.5
"327",2003,"Clint","Mitchell","DE",257,4.93,16,34.5,4.39
"331",2003,"Antwan","Peek","OLB",246,4.65,21,37,4.35
"334",2003,"Scott","Shanle","OLB",245,4.72,20,31,4.32
"335",2003,"Chaun","Thompson","OLB",240,4.58,29,35.5,4.22
"338",2003,"Clifton","Washburn","DE",275,5.03,22,27,4.82
"339",2003,"DeWayne","White","DE",273,4.76,22,33,4.32
"340",2003,"Jimmy","Wilkerson","DE",271,4.91,29,34.5,4.4
"341",2003,"Andrew","Williams","DE",263,4.7,29,32,4.47
"342",2003,"Kevin","Williams","DE",304,4.81,23,30,5.04
"343",2002,"James","Allen","OLB",240,4.62,24,38,4.21
"344",2002,"Akin","Ayodele","OLB",257,4.81,26,35,4.12
"345",2002,"Kevin","Bentley","OLB",243,4.68,23,39,3.83
"346",2002,"Rocky","Boiman","OLB",242,4.6,17,35,4.05
"347",2002,"Raheem","Brock","DE",257,4.93,25,34,4.23
"350",2002,"Ryan","Denney","DE",276,4.86,36,33,4.25
"351",2002,"Lonnie","Ford","DE",261,4.77,22,37.5,4.28
"353",2002,"Scott","Fujita","OLB",248,4.64,20,42,4.21
"357",2002,"Carlos","Hall","DE",259,4.67,20,40,4.19
"358",2002,"Napoleon","Harris","OLB",253,4.55,27,34,4.44
"359",2002,"Grant","Irons","DE",267,4.96,19,40.5,4.38
"360",2002,"Dennis","Johnson","DE",258,4.82,17,35.5,4.36
"361",2002,"Brett","Keisel","DE",279,4.89,26,33.5,4.51
"363",2002,"Ben","Leber","OLB",244,4.62,20,32.5,4.25
"364",2002,"Derrius","Monroe","DE",269,4.56,25,31.5,4.51
"365",2002,"Will","Overstreet","DE",259,4.65,21,32.5,4.31
"366",2002,"Anton","Palepoi","DE",279,4.81,24,33.5,4.27
"367",2002,"Nick","Rogers","OLB",251,4.73,22,36,4.19
"368",2002,"Greg","Scott","DE",268,4.9,26,32.5,4.61
"369",2002,"Raonall","Smith","OLB",244,4.53,26,42,4.11
"370",2002,"John","Stamper","DE",265,4.98,24,36.5,4.22
"371",2002,"Connor","Stephens","DE",256,4.89,20,36.5,4.55
"373",2002,"Greg","White","DE",268,4.9,20,31.5,4.36
"374",2001,"Monty","Beisel","DE",270,4.83,26,34.5,4.3
"375",2001,"Roylin","Bradley","OLB",243,4.67,19,34,4.28
"378",2001,"Chris","Cooper","DE",272,4.95,24,35.5,4.21
"379",2001,"Rick","Crowell","OLB",242,5.03,19,31,4.3
"380",2001,"Reggie","Hayward","DE",255,4.91,21,41,4.43
"381",2001,"Anthony","Herron","DE",280,5.16,26,36,4.43
"382",2001,"Sedrick","Hodge","OLB",244,4.49,21,32,4.09
"385",2001,"Rod","Kelly","DE",254,4.93,20,28.5,4.55
"386",2001,"Ross","Kolodziej","DE",290,4.87,25,34.5,4.36
"387",2001,"Justin","Kurpeikis","DE",252,4.97,22,31.5,4.1
"389",2001,"Dwayne","Missouri","DE",258,5.03,21,38,4.4
"390",2001,"Saul","Patu","DE",272,5.01,22,30.5,4.43
"396",2001,"Cedric","Scott","DE",281,4.86,23,35.5,4.37
"398",2001,"Joe","Tafoya","DE",269,4.91,28,33,4.53
"400",2001,"Kyle","Vanden","DE",270,4.75,26,36.5,4.08
"401",2001,"Fred","Wakefield","DE",287,5.09,26,28,4.64
"404",2000,"Michael","Boireau","DE",274,5.09,26,29,4.49
"407",2000,"Leonardo","Carson","DE",283,5.06,22,28,4.75
"408",2000,"Rameel","Connor","DE",276,5,25,35.5,4.45
"409",2000,"John","Engelberger","DE",260,4.73,24,34,4.28
"410",2000,"Aaron","Fields","DE",243,4.76,22,34,4.56
"411",2000,"Erik","Flowers","DE",271,4.75,24,33,4.15
"412",2000,"John","Frank","DE",280,4.78,32,37,4.27
"413",2000,"Byron","Frisch","DE",281,4.73,31,34.5,4.41
"414",2000,"Kabeer","Gbaja-Biamila","OLB",243,4.65,21,34,4.28
"415",2000,"Cornelius","Griffin","DE",297,4.9,30,31,4.62
"416",2000,"Clark","Haggans","OLB",253,4.97,20,31.5,4.21
"421",2000,"Fred","Jones","OLB",247,4.95,17,32,4.39
"422",2000,"Rob","Meier","DE",284,4.99,27,30.5,4.52
"423",2000,"Cedric","Pittman","OLB",261,4.9,20,30.5,4.52
"424",2000,"Quinton","Reese","DE",283,5.13,18,30,4.68
"428",2000,"Brian","Urlacher","OLB",258,4.59,27,34,4.18
"431",2000,"Brian","Young","DE",278,4.94,27,29.5,4.47
"432",1999,"Rahim","Abdullah","OLB",244,4.85,17,34,4.36
"433",1999,"Lionel","Barnes","DE",264,5,24,34,4.52
"437",1999,"Tony","Bryant","DE",273,4.85,16,34.5,4.57
"438",1999,"Thomas","Burke","DE",264,4.84,24,35,4.38
"439",1999,"Antonio","Cochran","DE",297,5.12,19,33,4.55
"440",1999,"Willie","Cohens","DE",264,5,29,33.5,4.52
"443",1999,"Antico","Dalton","OLB",242,4.71,30,35,4.32
"444",1999,"Robert","Daniel","DE",281,5.04,24,28.5,4.86
"445",1999,"Adrian","Dingle","DE",290,4.94,20,33,4.4
"447",1999,"Bryce","Fisher","DE",283,5,19,31,4.34
"448",1999,"Derrick","Ham","DE",257,4.91,24,28.5,4.54
"450",1999,"Chad","Kelsay","OLB",254,4.94,22,35.5,4.3
"451",1999,"Patrick","Kerney","DE",266,4.72,21,31,4.42
"452",1999,"Lamar","King","DE",299,4.77,22,30,4.28
"453",1999,"Jonathan","McCall","DE",273,4.91,19,31,4.38
"454",1999,"Kevin","McCullar","OLB",245,5,12,30,4.21
"455",1999,"C.J.","McLain","OLB",243,4.72,21,36,4.25
"456",1999,"John","McLaughlin","OLB",247,4.67,18,31.5,4.14
"457",1999,"Arnold","Miller","DE",240,4.77,12,33.5,4.12
"459",1999,"Chike","Okeafor","OLB",254,4.74,17,36.5,4.2
"460",1999,"Patterson","Owens","DE",273,4.88,19,35,4.34
"461",1999,"Joey","Porter","OLB",241,4.68,27,39,4.41
"463",1999,"Montae","Reagor","DE",263,4.84,20,34.5,4.23
"464",1999,"Mike","Rucker","DE",260,4.85,17,33.5,4.33
"465",1999,"Talance","Sawyer","DE",268,4.89,23,31.5,4.35
"466",1999,"Brad","Scioli","DE",277,4.92,23,33.5,4.27
"467",1999,"Aaron","Smith","DE",279,5.06,19,29.5,4.34
"468",1999,"Brian","Smith","OLB",252,4.94,21,32.5,4.67
"469",1999,"Jesse","Tarplin","DE",251,4.88,16,32.5,4.41
"472",1999,"Alton","Weaver","DE",296,5.02,17,29.5,4.44
"473",1999,"Aaron","Williams","DE",253,4.79,19,33.5,4.34
"474",1999,"Mark","Word","OLB",258,4.8,16,31.5,4.33
"475",1999,"Peppi","Zellner","DE",246,4.72,20,35.5,4.49
